,run_id,agent_id,obs,reward,action,done
0,1,0,[1. 4. 1. 3. 1. 2. 3. 5. 1. 1. 2. 1. 2. 5. 2.],0.0,2,False
1,1,1,[1. 4. 1. 3. 1. 2. 3. 5. 1. 2. 5. 2. 1. 2. 1.],0.0,3,False
2,1,0,[1. 4. 1. 3. 1. 2. 3. 5. 1. 2. 2. 1. 2. 4. 2.],0.0,3,False
3,1,1,[1. 4. 1. 3. 1. 2. 3. 5. 1. 2. 4. 2. 2. 2. 1.],0.25,5,False
4,1,0,[ 3.  1.  2.  3.  5.  1. -1. -1.  0.  2.  1.  1.  2.  4.  2.],0.0,3,False
5,1,1,[ 3.  1.  2.  3.  5.  1. -1. -1.  0.  2.  4.  2.  2.  1.  1.],0.0,3,False
6,1,0,[ 3.  1.  2.  3.  5.  1. -1. -1.  0.  2.  0.  1.  2.  3.  2.],0.0,2,False
7,1,1,[ 3.  1.  2.  3.  5.  1. -1. -1.  0.  2.  3.  2.  2.  0.  1.],0.0,2,False
8,1,0,[ 3.  1.  2.  3.  5.  1. -1. -1.  0.  3.  0.  1.  3.  3.  2.],0.0,2,False
9,1,1,[ 3.  1.  2.  3.  5.  1. -1. -1.  0.  3.  3.  2.  3.  0.  1.],0.0,3,False
10,1,0,[ 3.  1.  2.  3.  5.  1. -1. -1.  0.  4.  0.  1.  3.  2.  2.],0.0,4,False
11,1,1,[ 3.  1.  2.  3.  5.  1. -1. -1.  0.  3.  2.  2.  4.  0.  1.],0.5,5,False
12,1,0,[ 3.  5.  1. -1. -1.  0. -1. -1.  0.  4.  1.  1.  3.  2.  2.],0.0,4,False
13,1,1,[ 3.  5.  1. -1. -1.  0. -1. -1.  0.  3.  2.  2.  4.  1.  1.],0.0,4,False
14,1,0,[ 3.  5.  1. -1. -1.  0. -1. -1.  0.  4.  2.  1.  3.  3.  2.],0.0,1,False
15,1,1,[ 3.  5.  1. -1. -1.  0. -1. -1.  0.  3.  3.  2.  4.  2.  1.],0.0,4,False
16,1,0,[ 3.  5.  1. -1. -1.  0. -1. -1.  0.  3.  2.  1.  3.  4.  2.],0.0,0,True
17,1,1,[ 3.  5.  1. -1. -1.  0. -1. -1.  0.  3.  4.  2.  3.  2.  1.],0.25,5,True
18,2,0,[4. 2. 2. 4. 6. 2. 6. 3. 1. 2. 0. 1. 3. 0. 2.],0.0,2,False
19,2,1,[4. 2. 2. 4. 6. 2. 6. 3. 1. 3. 0. 2. 2. 0. 1.],0.0,2,False
20,2,0,[4. 2. 2. 4. 6. 2. 6. 3. 1. 3. 0. 1. 4. 0. 2.],0.0,2,False
21,2,1,[4. 2. 2. 4. 6. 2. 6. 3. 1. 4. 0. 2. 3. 0. 1.],0.0,4,False
22,2,0,[4. 2. 2. 4. 6. 2. 6. 3. 1. 4. 0. 1. 4. 1. 2.],0.0,2,False
23,2,1,[4. 2. 2. 4. 6. 2. 6. 3. 1. 4. 1. 2. 4. 0. 1.],0.4,5,False
24,2,0,[ 4.  6.  2.  6.  3.  1. -1. -1.  0.  5.  0.  1.  4.  1.  2.],0.0,4,False
25,2,1,[ 4.  6.  2.  6.  3.  1. -1. -1.  0.  4.  1.  2.  5.  0.  1.],0.0,4,False
26,2,0,[ 4.  6.  2.  6.  3.  1. -1. -1.  0.  5.  1.  1.  4.  2.  2.],0.0,4,False
27,2,1,[ 4.  6.  2.  6.  3.  1. -1. -1.  0.  4.  2.  2.  5.  1.  1.],0.0,4,False
28,2,0,[ 4.  6.  2.  6.  3.  1. -1. -1.  0.  5.  2.  1.  4.  3.  2.],0.0,2,False
29,2,1,[ 4.  6.  2.  6.  3.  1. -1. -1.  0.  4.  3.  2.  5.  2.  1.],0.0,4,False
30,2,0,[ 4.  6.  2.  6.  3.  1. -1. -1.  0.  6.  2.  1.  4.  4.  2.],0.0,2,False
31,2,1,[ 4.  6.  2.  6.  3.  1. -1. -1.  0.  4.  4.  2.  6.  2.  1.],0.0,4,False
32,2,0,[ 4.  6.  2.  6.  3.  1. -1. -1.  0.  7.  2.  1.  4.  5.  2.],0.0,0,False
33,2,1,[ 4.  6.  2.  6.  3.  1. -1. -1.  0.  4.  5.  2.  7.  2.  1.],0.4,5,False
34,2,0,[ 6.  3.  1. -1. -1.  0. -1. -1.  0.  7.  2.  1.  4.  5.  2.],0.0,1,False
35,2,1,[ 6.  3.  1. -1. -1.  0. -1. -1.  0.  4.  5.  2.  7.  2.  1.],0.0,3,False
36,2,0,[ 6.  3.  1. -1. -1.  0. -1. -1.  0.  6.  2.  1.  4.  4.  2.],0.2,5,True
37,2,1,[ 6.  3.  1. -1. -1.  0. -1. -1.  0.  4.  4.  2.  6.  2.  1.],0.0,3,True
38,3,0,[4. 3. 1. 5. 1. 1. 5. 5. 1. 2. 0. 2. 1. 7. 2.],0.0,2,False
39,3,1,[4. 3. 1. 5. 1. 1. 5. 5. 1. 1. 7. 2. 2. 0. 2.],0.0,2,False
40,3,0,[4. 3. 1. 5. 1. 1. 5. 5. 1. 3. 0. 2. 2. 7. 2.],0.0,2,False
41,3,1,[4. 3. 1. 5. 1. 1. 5. 5. 1. 2. 7. 2. 3. 0. 2.],0.0,2,False
42,3,0,[4. 3. 1. 5. 1. 1. 5. 5. 1. 4. 0. 2. 3. 7. 2.],0.0,4,False
43,3,1,[4. 3. 1. 5. 1. 1. 5. 5. 1. 3. 7. 2. 4. 0. 2.],0.0,3,False
44,3,0,[4. 3. 1. 5. 1. 1. 5. 5. 1. 4. 1. 2. 3. 6. 2.],0.0,2,False
45,3,1,[4. 3. 1. 5. 1. 1. 5. 5. 1. 3. 6. 2. 4. 1. 2.],0.0,2,False
46,3,0,[4. 3. 1. 5. 1. 1. 5. 5. 1. 4. 1. 2. 4. 6. 2.],0.0,2,False
47,3,1,[4. 3. 1. 5. 1. 1. 5. 5. 1. 4. 6. 2. 4. 1. 2.],0.0,3,False
48,3,0,[4. 3. 1. 5. 1. 1. 5. 5. 1. 4. 1. 2. 4. 5. 2.],0.0,2,False
49,3,1,[4. 3. 1. 5. 1. 1. 5. 5. 1. 4. 5. 2. 4. 1. 2.],0.0,2,False
50,3,0,[4. 3. 1. 5. 1. 1. 5. 5. 1. 4. 1. 2. 4. 5. 2.],0.0,2,False
51,3,1,[4. 3. 1. 5. 1. 1. 5. 5. 1. 4. 5. 2. 4. 1. 2.],0.0,2,False
52,3,0,[4. 3. 1. 5. 1. 1. 5. 5. 1. 4. 1. 2. 4. 5. 2.],0.0,2,False
53,3,1,[4. 3. 1. 5. 1. 1. 5. 5. 1. 4. 5. 2. 4. 1. 2.],0.0,2,False
54,3,0,[4. 3. 1. 5. 1. 1. 5. 5. 1. 4. 1. 2. 4. 5. 2.],0.0,2,False
55,3,1,[4. 3. 1. 5. 1. 1. 5. 5. 1. 4. 5. 2. 4. 1. 2.],0.0,2,False
56,3,0,[4. 3. 1. 5. 1. 1. 5. 5. 1. 4. 1. 2. 4. 5. 2.],0.0,2,False
57,3,1,[4. 3. 1. 5. 1. 1. 5. 5. 1. 4. 5. 2. 4. 1. 2.],0.0,2,False
58,3,0,[4. 3. 1. 5. 1. 1. 5. 5. 1. 4. 1. 2. 4. 5. 2.],0.0,2,False
59,3,1,[4. 3. 1. 5. 1. 1. 5. 5. 1. 4. 5. 2. 4. 1. 2.],0.0,2,False
60,3,0,[4. 3. 1. 5. 1. 1. 5. 5. 1. 4. 1. 2. 4. 5. 2.],0.0,2,False
61,3,1,[4. 3. 1. 5. 1. 1. 5. 5. 1. 4. 5. 2. 4. 1. 2.],0.0,2,False
62,3,0,[4. 3. 1. 5. 1. 1. 5. 5. 1. 4. 1. 2. 4. 5. 2.],0.0,2,False
63,3,1,[4. 3. 1. 5. 1. 1. 5. 5. 1. 4. 5. 2. 4. 1. 2.],0.0,2,False
64,3,0,[4. 3. 1. 5. 1. 1. 5. 5. 1. 4. 1. 2. 4. 5. 2.],0.0,2,False
65,3,1,[4. 3. 1. 5. 1. 1. 5. 5. 1. 4. 5. 2. 4. 1. 2.],0.0,2,False
66,3,0,[4. 3. 1. 5. 1. 1. 5. 5. 1. 4. 1. 2. 4. 5. 2.],0.0,2,False
67,3,1,[4. 3. 1. 5. 1. 1. 5. 5. 1. 4. 5. 2. 4. 1. 2.],0.0,2,False
